Source_ID,Sample_ID,scope
charleux2014,charleux2014_Eiao-492B,artefact
charleux2014,charleux2014_Eiao-498,sample
charleux2014,charleux2014_Eiao-498,artefact
charleux2014,charleux2014_Eiao-511,sample
charleux2014,charleux2014_Eiao-511,artefact
charleux2014,charleux2014_Eiao-516,sample
charleux2014,charleux2014_Eiao-516,artefact
charleux2014,charleux2014_Eiao-518,sample
charleux2014,charleux2014_Eiao-518,artefact
charleux2014,charleux2014_Eiao-519,sample
charleux2014,charleux2014_Eiao-519,artefact
charleux2014,charleux2014_Eiao-520,sample
charleux2014,charleux2014_Eiao-520,artefact
charleux2014,charleux2014_Eiao-521,sample
charleux2014,charleux2014_Eiao-521,artefact
charleux2014,charleux2014_Eiao-522a,sample
charleux2014,charleux2014_Eiao-522a,artefact
charleux2014,charleux2014_Eiao-522b,sample
charleux2014,charleux2014_Eiao-522b,artefact
charleux2014,charleux2014_Eiao-524,sample
charleux2014,charleux2014_Eiao-524,artefact
charleux2014,charleux2014_Eiao-105,sample
charleux2014,charleux2014_Eiao-105,artefact
charleux2014,charleux2014_Eiao-118,sample
charleux2014,charleux2014_Eiao-118,artefact
charleux2014,charleux2014_Eiao-132,sample
charleux2014,charleux2014_Eiao-132,artefact
charleux2014,charleux2014_Eiao-180a,sample
charleux2014,charleux2014_Eiao-180a,artefact
charleux2014,charleux2014_Eiao-180b,sample
charleux2014,charleux2014_Eiao-180b,artefact
charleux2014,charleux2014_Eiao-2,sample
charleux2014,charleux2014_Eiao-2,artefact
charleux2014,charleux2014_Eiao-203,sample
charleux2014,charleux2014_Eiao-203,artefact
charleux2014,charleux2014_Eiao-204,sample
charleux2014,charleux2014_Eiao-204,artefact
charleux2014,charleux2014_Eiao-205,sample
charleux2014,charleux2014_Eiao-205,artefact
charleux2014,charleux2014_Eiao-206,sample
charleux2014,charleux2014_Eiao-206,artefact
charleux2014,charleux2014_Eiao-207,sample
charleux2014,charleux2014_Eiao-207,artefact
charleux2014,charleux2014_Eiao-34,sample
charleux2014,charleux2014_Eiao-34,artefact
charleux2014,charleux2014_Eiao-90,sample
charleux2014,charleux2014_Eiao-90,artefact
charleux2014,charleux2014_Eiao-147,sample
charleux2014,charleux2014_Eiao-147,artefact
charleux2014,charleux2014_Eiao-171,sample
charleux2014,charleux2014_Eiao-171,artefact
charleux2014,charleux2014_Eiao-188,sample
charleux2014,charleux2014_Eiao-188,artefact
charleux2014,charleux2014_Eiao-303,sample
charleux2014,charleux2014_Eiao-303,artefact
charleux2014,charleux2014_Eiao-338,sample
charleux2014,charleux2014_Eiao-338,artefact
charleux2014,charleux2014_Eiao-447,sample
charleux2014,charleux2014_Eiao-447,artefact
charleux2014,charleux2014_Eiao-491,sample
charleux2014,charleux2014_Eiao-491,artefact
charleux2014,charleux2014_Eiao-513,sample
charleux2014,charleux2014_Eiao-513,artefact
charleux2014,charleux2014_Eiao-517,sample
charleux2014,charleux2014_Eiao-517,artefact
charleux2014,charleux2014_Eiao-43,sample
charleux2014,charleux2014_Eiao-43,artefact
charleux2014,charleux2014_Eiao-354,sample
charleux2014,charleux2014_Eiao-354,artefact
charleux2014,charleux2014_Eiao-357,sample
charleux2014,charleux2014_Eiao-357,artefact
clark2014,clark2014_1,sample
clark2014,clark2014_1,artefact
clark2014,clark2014_2,sample
clark2014,clark2014_2,artefact
clark2014,clark2014_3,sample
clark2014,clark2014_3,artefact
clark2014,clark2014_4,sample
clark2014,clark2014_4,artefact
clark2014,clark2014_5,sample
clark2014,clark2014_5,artefact
clark2014,clark2014_6,sample
clark2014,clark2014_6,artefact
clark2014,clark2014_7,sample
clark2014,clark2014_7,artefact
clark2014,clark2014_8,sample
clark2014,clark2014_8,artefact
clark2014,clark2014_9,sample
clark2014,clark2014_9,artefact
clark2014,clark2014_10,sample
clark2014,clark2014_10,artefact
clark2014,clark2014_10,sample
clark2014,clark2014_10,artefact
clark2014,clark2014_10,sample
clark2014,clark2014_10,artefact
clark2014,clark2014_11,sample
clark2014,clark2014_11,artefact
clark2014,clark2014_12,sample
clark2014,clark2014_12,artefact
clark2014,clark2014_13,sample
clark2014,clark2014_13,artefact
clark2014,clark2014_14,sample
clark2014,clark2014_14,artefact
clark2014,clark2014_15,sample
clark2014,clark2014_15,artefact
clark2014,clark2014_16,sample
clark2014,clark2014_16,artefact
clark2014,clark2014_18,sample
clark2014,clark2014_18,artefact
clark2014,clark2014_19,sample
clark2014,clark2014_19,artefact
clark2014,clark2014_20,sample
clark2014,clark2014_20,artefact
clark2014,clark2014_21,sample
clark2014,clark2014_21,artefact
clark2014,clark2014_21,sample
clark2014,clark2014_21,artefact
clark2014,clark2014_21,sample
clark2014,clark2014_21,artefact
clark2014,clark2014_22,sample
clark2014,clark2014_22,artefact
clark2014,clark2014_22,sample
clark2014,clark2014_22,artefact
clark2014,clark2014_22,sample
clark2014,clark2014_22,artefact
clark2014,clark2014_26,sample
clark2014,clark2014_26,artefact
clark2014,clark2014_26,sample
clark2014,clark2014_26,artefact
clark2014,clark2014_26,sample
clark2014,clark2014_26,artefact
clark2014,clark2014_27,sample
clark2014,clark2014_27,artefact
clark2014,clark2014_27,sample
clark2014,clark2014_27,artefact
clark2014,clark2014_27,sample
clark2014,clark2014_27,artefact
clark2014,clark2014_28,sample
clark2014,clark2014_28,artefact
clark2014,clark2014_28,sample
clark2014,clark2014_28,artefact
clark2014,clark2014_28,sample
clark2014,clark2014_28,artefact
clark2014,clark2014_29,sample
clark2014,clark2014_29,artefact
clark2014,clark2014_29,sample
clark2014,clark2014_29,artefact
clark2014,clark2014_29,sample
clark2014,clark2014_29,artefact
clark2014,clark2014_31,sample
clark2014,clark2014_31,artefact
clark2014,clark2014_31,sample
