ID,Entry_Type,address,author,booktitle,collaborator,copyright,doi,edition,editor,eprint,eprinttype,googlebooks,ids,institution,isbn,issn,journal,jstor,keywords,langid,month,note,number,pages,pmcid,publisher,school,series,shorttitle,title,type,urldate,volume,year
specht1981,article,,"Specht, Jim",,,,,,,20705581,jstor,,,,,0032-4000,Journal of the Polynesian Society,20705581,,,,,3,337--356,,Polynesian Society,,,,"Obsidian Sources at {{Talasea}}, {{West New Britain}}, {{Papua New Guinea}}",,2021-01-15,90,1981
specht1981a,techreport,,"Specht, Jim and Hollis, J and Pain, C",,,,,,,,,,,,,,,,,,,,,,,,,,,"Report on {{Archaeological Fieldwork}}, {{West New Britain}}, {{Papua New Guinea}}. {{Report}} Submitted to the {{Provincial}} Government.",,,,1981
specht2007,article,,"Specht, Jim and Torrence, Robin",,,,,,,,,,,,,1835-4211 online,Technical Reports of the Australian Museum,,,english,,,,131--196,,,,,,"Pottery of the {{Talasea Area}}, {{West New Britain Province}}",,,20,2007
spriggs2010,article,,"Spriggs, Matthew and Bird, Roger and Ambrose, Wal",,,,10.1002/j.1834-4453.2010.tb00075.x,,,20743943,jstor,,,,,0728-4896,Archaeology in Oceania,20743943,,,,,1,31--38,,"[Wiley, Oceania Publications, University of Sydney]",,,,A Reanalysis of the {{Tikopia}} Obsidians,,2021-04-20,45,2010
spriggs2011,article,,"Spriggs, Matthew and Reepmeyer, Christian and {Anggraeni} and Lape, Peter and Neri, Leee and Ronquillo, Wilfredo P. and Simanjuntak, Truman and Summerhayes, Glenn and Tanudirjo, Daud and Tiauzon, Archie",,,,10.1016/j.jas.2011.06.015,,,,,,,,,0305-4403,Journal of Archaeological Science,,"Island southeast Asia,Obsidian,Sourcing",english,November,,11,2873--2881,,,,,Obsidian Sources and Distribution Systems in {{Island Southeast Asia}},Obsidian Sources and Distribution Systems in {{Island Southeast Asia}}: A Review of Previous Research,,2021-03-30,38,2011
stevenson1984,article,,"Stevenson, Christopher M. and Shaw, Leslie C. and Cristino, C.",,,,,,,,,,,,,,Archaeology in Oceania,,,english,,,3,120--124,,,,,,Obsidian {{Procurement}} and {{Consumption}} on {{Easter Island}},,2019-03-18,19,1984
stevenson2013,article,,"Stevenson, Christopher M. and Ladefoged, Thegn N. and Haoa, Sonia and Chadwick, Oliver and Puleston, Cedric",,,,10.1080/15564894.2012.745457,,,,,,,,,1556-4894,The Journal of Island and Coastal Archaeology,,"exchange,obsidian,procurement,Rapa Nui,x-ray fluorescence",,January,,1,108--121,,,,,,Prehistoric {{Obsidian Exchange}} on {{Rapa Nui}},,2019-03-18,8,2013
suggs1961,book,,"Suggs, Robert C.",,,,,,,,,,,,,,,,,,,,49,,,,,Anthropological {{Papers}} of the {{American Museum}} of {{Natural History}},,"The {{Archaeology}} of {{Nuku Hiva}}, {{Marquesas Islands}}, {{French Polynesia}}",,,,1961
sutton2003,book,,"Sutton, Douglas and Furey, Louise and Marshall, Yvonne",,,,,,,,,,,,978-1-86940-292-1,,,,,,,,,,,Auckland University Press,,,,The {{Archaeology}} of {{Pouerua}},,2019-09-21,,2003
terrell2011,article,,"Terrell, John Edward",,,,10.3158/0071-4739-42.1.251,,,,,,,,,,Fieldiana Anthropology,,,,,,,69--86,,,,,,Archaeological {{Excavations}} ({{Exploring Prehistory}} on the {{Sepik Coast}} of {{Papua New Guinea}}),,,42,2011
